store_id,brand_id,store_name,road_address,lng,lat,store_type,source,external_id
str_01KZMSEJ2F39WQR8MCC7T8VTVQ,paris,파리바게뜨수원스카이뷰점,경기도 수원시 장안구 이목로 24,126.983587090271,37.3093868222304,NORMAL,PUBLIC_DATA,MA010120220801429464
str_01KZMSEJ2F39WQR8MCC7T8VTVR,paikdabang,빽다방수원호매실칠보점,경기도 수원시 권선구 금호로 56,126.957867522685,37.2695996231352,NORMAL,PUBLIC_DATA,MA010120220800152961
str_01KZMSEJ2F39WQR8MCC7T8VTVS,paris,파리바게뜨광교더샵레이크시티점,경기도 수원시 영통구 광교호수공원로 20,127.060150126667,37.271033505626,NORMAL,PUBLIC_DATA,MA010120220809367568
str_01KZMSEJ2F39WQR8MCC7T8VTVT,paris,파리바게뜨수원 남문점,경기도 수원시 팔달구 정조로 782,127.017251722885,37.2778053334657,NORMAL,PUBLIC_DATA,MA010120220802439728
str_01KZMSEJ2F39WQR8MCC7T8VTVV,ediya,이디야커피호매실 중앙점,경기도 수원시 권선구 금곡로 204,126.953343949529,37.2737066734659,NORMAL,PUBLIC_DATA,MA010120220812067738
str_01KZMSEJ2F39WQR8MCC7T8VTVW,compose,컴포즈커피수원매교점,경기도 수원시 팔달구 정조로 662,127.01701260889,37.2674704295964,NORMAL,PUBLIC_DATA,MA010120220804579779
str_01KZMSEJ2F39WQR8MCC7T8VTVX,paris,쏘웰파트너스파리바게뜨수원공군비행단점,경기도 수원시 권선구 경수대로168번길 79,127.022900850194,37.2406814088271,NORMAL,PUBLIC_DATA,MA010120220814316119
str_01KZMSEJ2F39WQR8MCC7T8VTVY,ediya,이디야수원디지털엠파이어2점,경기도 수원시 영통구 신원로 88,127.050269166527,37.247466833878,NORMAL,PUBLIC_DATA,MA010120220802469584
str_01KZMSEJ2F39WQR8MCC7T8VTVZ,ediya,이디야커피수원인계 중앙점,경기도 수원시 팔달구 권광로 280,127.036203324206,37.272079447716,NORMAL,PUBLIC_DATA,MA010120220806535790
str_01KZMSEJ2F39WQR8MCC7T8VTW0,paikdabang,빽다방수원삼성전자 정문점,경기도 수원시 영통구 삼성로 172-4,127.057412050684,37.2583662154027,NORMAL,PUBLIC_DATA,MA010120220813767563
